"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0304905060556332","0.0470205643799655","233.470123471677","0.648450448387739","0.517330915864204"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0176008653246047","0.0470205643799655","233.470123471677","-0.374322715107692","0.708503982238438"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0117450252933886","0.0464059276016149","210.385217335246","0.253093212449434","0.8004433153424"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0233109494716796","0.0464059276016149","210.385217335246","-0.502326980117694","0.615962892904086"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0196932896049126","0.0482565599832206","234.138366909627","0.408095595951311","0.683576432892719"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0266669555861421","0.0482565599832206","234.138366911747","0.552607885755108","0.581059105208662"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0121360932720199","0.0450433121745709","235.149640157707","0.269431635599641","0.787833815539725"
"motr","gaze_duration","12","24","Gram_x_Lex","0.00350284721009598","0.0450433121745709","235.149640157707","0.0777661997084109","0.938080163770656"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0445696549256732","0.0470352926393207","232.034159167413","0.947578986431429","0.344329629324285"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0602309501099728","0.0470352926393207","232.034159167413","-1.28054800406665","0.201631030296653"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0552868342603335","0.0438751070619049","212.385172236219","-1.26009571172846","0.20901762383587"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0602832704651974","0.0438751070619049","212.385172236219","1.37397432170688","0.170897966402373"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.023154973917053","0.0465807050422474","234.811944992422","-0.497093676363467","0.619588104261779"
"motr","gaze_duration","12","24","Gram_x_Lex","0.050887658288671","0.0465807050422474","234.811944992422","1.0924621738232","0.275749581180881"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.00483196904491429","0.0455725289633902","211.54042494225","-0.106028108486057","0.915660526331827"
"motr","gaze_duration","12","24","Gram_x_Lex","0.0532935446268238","0.0455725289633902","211.54042494225","1.16942258503223","0.243549384273522"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0121181941289912","0.0494984009721125","210.362966437505","0.24481991116882","0.806834520398524"
"motr","gaze_duration","12","24","Gram_x_Lex","-0.0215860364580592","0.0494984009721125","210.362966437505","-0.436095632063362","0.663214548668541"
"motr","gaze_duration","12","24","Gram_x_Synt","-0.0462595075408116","0.0501392128398045","211.7049937901","-0.922621336091002","0.357254854999867"
"motr","gaze_duration","12","24","Gram_x_Lex","0.00574055760363114","0.0501392128398045","211.7049937901","0.114492375896931","0.908956001045858"
"motr","gaze_duration","12","24","Gram_x_Synt","0.0122378751301284","0.0479075901201432","210.948302195346","0.255447520934327","0.798626367140295"
