"item_id","type","target_gender","gender_match","word_nr","word","AOI_id","correctness","subj_id","word_length","word_len_pre1","word_len_pre2","cond","log_freq","Gram","Gen","Synt","Lex","Gram_x_Gen","Gen_x_Synt","Gen_x_Lex","Gram_x_Synt","Gram_x_Lex","Gram_x_Gen_x_Synt","Gram_x_Gen_x_Lex","first_duration","FPFix","FPReg","gaze_duration","go_past_time","RegIn_excl","RegIn_incl","right_bounded_rt","total_duration"
"42","stim_pred_adj","F","Mis",8,"овощей","R6",99,"174",0.442200465714674,-1.49123623590173,0.442200465714674,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,201,1,1,201,1848,0,0,201,201
"43","stim_pred_adj","F","Match",1,"очень","R1",1,"174",-0.202278434824128,-0.84675733536293,NA,"l",NA,-0.5,-0.5,-0.666666666666667,-0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,-0.333333333333333,-0.333333333333333,240,1,0,240,240,0,0,240,240
"43","stim_pred_adj","F","Match",2,"дорога","R2",1,"174",0.119961015445273,-0.202278434824128,-0.84675733536293,"l",0.460897842756548,-0.5,-0.5,-0.666666666666667,-0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,-0.333333333333333,-0.333333333333333,184,1,0,184,184,0,0,184,184
"43","stim_pred_adj","F","Match",3,"фотография","R3",1,"174",1.40891881652288,0.119961015445273,-0.202278434824128,"l",1.99,-0.5,-0.5,-0.666666666666667,-0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,-0.333333333333333,-0.333333333333333,187,1,0,187,187,0,0,187,187
"44","stim_pred_adj","M","Mis",0,"Тебе","R1",99,"174",-0.524517885093529,NA,NA,"c",NA,0.5,0.5,-0.666666666666667,-0.666666666666667,0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,237,1,0,237,237,0,0,237,237
"44","stim_pred_adj","M","Mis",1,"пока","R1",99,"174",-0.524517885093529,-0.524517885093529,NA,"c",NA,0.5,0.5,-0.666666666666667,-0.666666666666667,0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,178,1,0,178,178,0,0,178,178
"44","stim_pred_adj","M","Mis",2,"велика","R2",99,"174",0.119961015445273,-0.524517885093529,-0.524517885093529,"c",1.32056168019524,0.5,0.5,-0.666666666666667,-0.666666666666667,0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,310,1,0,310,310,0,0,310,310
"44","stim_pred_adj","M","Mis",3,"костюм","R3",99,"174",0.119961015445273,0.119961015445273,-0.524517885093529,"c",1.92,0.5,0.5,-0.666666666666667,-0.666666666666667,0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,258,1,0,258,258,0,0,258,258
"44","stim_pred_adj","M","Mis",6,"зимнего","R5",99,"174",0.442200465714674,0.764439915984075,-1.16899678563233,"c",0.707570176097936,0.5,0.5,-0.666666666666667,-0.666666666666667,0.5,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.666666666666667,-0.333333333333333,-0.333333333333333,402,1,0,402,402,0,0,402,402
"46","stim_pred_adj","F","Mis",1,"музее","R1",99,"174",-0.202278434824128,-1.49123623590173,NA,"i",NA,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,234,1,0,234,234,0,0,234,234
"46","stim_pred_adj","F","Mis",2,"привлекателен","R2",99,"174",2.37563716733108,-0.202278434824128,-1.49123623590173,"i",-0.167491087293764,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,496,1,0,496,496,0,0,496,496
"46","stim_pred_adj","F","Mis",3,"комната","R3",99,"174",0.442200465714674,2.37563716733108,-0.202278434824128,"i",2.49,0.5,-0.5,-0.666666666666667,-0.666666666666667,-0.5,0.666666666666667,0.666666666666667,-0.666666666666667,-0.666666666666667,0.333333333333333,0.333333333333333,188,1,0,188,188,1,1,188,659
