"method","measure","pp_counts","item_counts","interactions","Estimate","SE","df","t","p"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0115594444426168","0.0274832593227412","741.842905243971","0.420599475006659","0.674169386011406"
"motr","gaze_duration","36","24","Gram_x_Lex","0.00296640822059227","0.0274832593227412","741.84290524397","0.107935095534237","0.914076362371111"
"motr","gaze_duration","36","24","Gram_x_Synt","0.00283198576012752","0.0282118179295958","741.511917538839","0.100382958914413","0.920067432272653"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0191022763848986","0.0282118179295958","741.511917538839","0.677101930565743","0.498552462418764"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0264583476110602","0.0276826435294226","740.364445090372","0.955773879865872","0.339498456907243"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.011076315069436","0.0276826435294226","740.364445090372","-0.400117678705918","0.689185260181458"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0473512194726529","0.0286093525066253","761.044985658449","1.65509581042379","0.098317351107299"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.0194135648689203","0.0286093525066253","761.044985658448","-0.678574073440652","0.497614057954304"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0529308919269037","0.027938961821971","760.596350232065","1.89451892536964","0.0585352341752784"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.00867840530140234","0.027938961821971","760.596350232065","-0.310620178255074","0.756174485509717"
"motr","gaze_duration","36","24","Gram_x_Synt","0.015408280098371","0.0275852021242707","738.275795281741","0.558570498376522","0.576624245108606"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0394455084213389","0.0275852021242707","738.275795281741","1.42995176339973","0.153153908387862"
"motr","gaze_duration","36","24","Gram_x_Synt","-0.0354106554071087","0.026851403754277","740.285634535968","-1.31876365687095","0.187655949897305"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0268646786131897","0.026851403754277","740.285634535968","1.0004943823062","0.317398227269017"
"motr","gaze_duration","36","24","Gram_x_Synt","0.00367218787644509","0.026911210254566","741.253643161846","0.136455694177561","0.891498098748956"
"motr","gaze_duration","36","24","Gram_x_Lex","0.00986326774736904","0.026911210254566","741.253643161846","0.366511489229495","0.714088030783958"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0441981038168751","0.027778615955142","737.183227841095","1.59108372743437","0.112019442124244"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.0153233208286425","0.027778615955142","737.183227841095","-0.551622904949161","0.581373906661037"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0860157027382819","0.0279610017565176","741.048472074394","3.0762740007422","0.00217315955755951"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.0420679182978255","0.0279610017565176","741.048472074394","-1.50452114213038","0.132873303058411"
"motr","gaze_duration","36","24","Gram_x_Synt","0.000659970555786911","0.0269171205504062","739.72846785758","0.0245186164898664","0.980445546789604"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0102509976677773","0.0269171205504062","739.72846785758","0.380835596756377","0.703434585870154"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0231138444687674","0.02563213309719","738.599066973926","0.901752670412801","0.367482223449128"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.0115539998410445","0.02563213309719","738.599066973962","-0.450762322325456","0.652293154340077"
"motr","gaze_duration","36","24","Gram_x_Synt","-0.0625680424705466","0.0274973695636623","763.704580569212","-2.27541919330459","0.0231570483563907"
"motr","gaze_duration","36","24","Gram_x_Lex","0.0116750603424206","0.0274973695636623","763.704580569212","0.424588261629548","0.671256436661114"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0145727778877728","0.0270063830285114","739.152369647566","0.539604947185556","0.589632015839786"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.00754718188472434","0.0270063830285114","739.152369647566","-0.279459188472465","0.779970631919852"
"motr","gaze_duration","36","24","Gram_x_Synt","0.00333982159894967","0.0265949194886722","740.147854278096","0.125581188556417","0.900097556658429"
"motr","gaze_duration","36","24","Gram_x_Lex","-0.0244301262966795","0.0265949194886722","740.147854278096","-0.918601250403683","0.35860342907459"
"motr","gaze_duration","36","24","Gram_x_Synt","0.0247619427647099","0.0261950398066774","739.741986765811","0.945291282145633","0.344818840230718"
"motr","gaze_duration","36","24","Gram_x_Lex","0.004798839542284","0.0261950398066774","739.741986765811","0.183196497417069","0.854694040945385"
