"measure","beta","bval_mean","crI_95_lower","crI_95_upper","crl_89_lower","crl_89_upper","hpdi_95_lower","hpdi_95_upper","hpdi_89_lower","hpdi_89_upper","bval_median"
"go_past_time","b_Gram_x_Gen_x_TypL",15.4976678329796,-22.3403490262446,55.2280388625608,-15.0239987076182,47.4024048909495,-20.6956792925535,56.6333712592378,-15.7676392388865,46.344792755915,14.8636088488949
"go_past_time","b_Gram_x_Gen_x_TypS",1.67090877132153,-37.7747767182236,38.2862922541949,-30.4367430605857,31.6261933926579,-36.5578314582028,39.1109086585343,-27.9884712248248,33.6146238008281,2.27363186924961
"total_duration","b_0",479.306534705297,426.447551314311,537.317237599742,436.155090747221,524.753795744215,425.934998115082,536.473077054152,434.534276352004,522.753341205167,478.551555911469
"total_duration","b_Gram",104.662223385574,63.3509922191539,145.370347280014,71.3173854815494,137.96422508063,63.8227103451044,145.620770451725,72.1306638639832,138.547674096188,104.43784875833
"total_duration","b_Gen",-3.16749524498808,-31.7435248284629,25.9595353045308,-26.483716948556,20.0747543631104,-31.0279875853939,26.5774200271773,-26.1642278715208,20.2184826648994,-2.95123047071721
"total_duration","b_TypL",79.5298116314328,-10.999401290677,162.926939799921,7.9405924664432,145.893310408877,-8.88200274844559,164.103871736386,12.8676926386722,150.688052135832,81.0454256874712
"total_duration","b_TypS",-92.9611421151778,-180.776363736342,1.5572261243991,-164.683592891683,-18.6979258565556,-183.458508902206,-2.35823739964917,-167.074938273957,-21.4092622665803,-93.8872079804184
"total_duration","b_Gram_x_TypL",-15.3723132230423,-55.0604340789803,23.0552979588264,-46.7181207063642,15.7440616031235,-54.4678570067224,23.5827927665064,-46.7975752816196,15.6787358371422,-15.0725159331061
"total_duration","b_Gram_x_TypS",23.6475346422504,-19.7890228647446,67.1529228798629,-11.7483203095028,58.8234897254967,-20.2313069316991,66.6860870712688,-9.88806964536332,60.1843480485532,23.4588412450367
"total_duration","b_Gram_x_Gen_x_TypL",28.0088026714586,-10.0543224087784,67.0649298974116,-2.47269747533874,59.5700832613124,-10.4339800900644,66.4782404791263,-4.51076740327267,57.1254344088675,27.5794648616593
"total_duration","b_Gram_x_Gen_x_TypS",3.9020333354971,-35.7039845472521,41.3904364270274,-27.09619764445,33.6043742295277,-36.3167024746644,40.2697855233049,-26.0751783974984,34.3331772887383,4.29307504078045
"FPReg","b_0",0.0662016520430482,0.0440415178634425,0.0913850160813694,0.0477258429140217,0.0865423526994371,0.0434504120587603,0.090593959933827,0.0468180265174846,0.0852841908322214,0.0658027276410837
"FPReg","b_Gram",0.0458447005172385,0.0184726368598819,0.0781505551637435,0.0231685076715005,0.0714845099818603,0.0174974863422346,0.0763229433127022,0.0212565626644385,0.0688613140636784,0.0450683621461317
"FPReg","b_Gen",0.00547705648087461,-0.00689663255373996,0.020352940894991,-0.00500271474818849,0.0172936070570255,-0.00690410618717244,0.0203185898958734,-0.00582912430870275,0.0162479741404394,0.00508399070297104
"FPReg","b_TypL",0.00319567098106793,-0.00791093242711206,0.0157310880966623,-0.00587599827139386,0.0132949346316086,-0.00865447796830598,0.0148757483775929,-0.00629154825995438,0.0126858293068934,0.0029324884079116
"FPReg","b_TypS",-0.0165668046359107,-0.0331846833702245,0.00367820171387449,-0.0301556765392365,-0.00102038589387787,-0.0341318692378317,0.00236489236109387,-0.031435080439411,-0.00284399106038298,-0.0171974225409958
"FPReg","b_Gram_x_TypL",0.000445151178414165,-0.0361733978003662,0.0360204425981716,-0.0282503701266664,0.0295715969480166,-0.0346213939294365,0.0373276231396953,-0.0289858737422331,0.0285668097487118,0.000419759421591011
"FPReg","b_Gram_x_TypS",0.0195594294001881,-0.0184003532204936,0.058868436442396,-0.0105470510043061,0.051442716536317,-0.0167380996974084,0.0603115447708173,-0.0114572499147447,0.0504403451216092,0.0191922701916328
"FPReg","b_Gram_x_Gen_x_TypL",-0.000818648305544302,-0.0317243090411955,0.0291301100349516,-0.0250406518029286,0.0231739582892342,-0.0309523430757756,0.0297283066493099,-0.0244498371418072,0.023568958015547,-0.000797988721797132
"FPReg","b_Gram_x_Gen_x_TypS",-0.00293071879069944,-0.033780170774533,0.0275571303297461,-0.0275266384784715,0.0215113141867629,-0.0337936456221764,0.0274895010084729,-0.0281764546256356,0.0206622673831186,-0.00278706372697857
"RegIn_incl","b_0",0.113850290598346,0.0706073640840223,0.169174929860756,0.0766387089889221,0.157160855915862,0.0666206883447942,0.163763453161332,0.07224336843403,0.151747625342357,0.11179620564383
"RegIn_incl","b_Gram",0.0144564555244548,-0.00902070495499527,0.043982601813939,-0.00481186467427837,0.0368225208761316,-0.0104804396868473,0.0418917596089616,-0.00587544353706379,0.0355856733985779,0.0135091456192087
"RegIn_incl","b_Gen",0.00774449608581195,-0.00969737937576486,0.0280344282189655,-0.00679764277897877,0.023756072916536,-0.0101559796661098,0.027450147818489,-0.00692311073138943,0.0235853509802814,0.00718394151200288
"RegIn_incl","b_TypL",0.0118089339572335,-0.0103091397990019,0.0385014547700102,-0.00656204445393152,0.0324233388104708,-0.0113234491540248,0.0373312023433935,-0.00730987922893983,0.0310804662631099,0.011129091161513
"RegIn_incl","b_TypS",-0.0239963347180862,-0.0571646222008705,0.0149736632338666,-0.0510651250476797,0.00543537506601922,-0.0588344519405518,0.0121496321284338,-0.0520597484223803,0.00373397838765226,-0.0247700551740806
"RegIn_incl","b_Gram_x_TypL",0.0239828748041218,-0.0234997297974232,0.0740550485038368,-0.0143810113101941,0.063256306052924,-0.0246847015103223,0.0726057229772135,-0.014542589034966,0.0629493434318232,0.0233058585105854
"RegIn_incl","b_Gram_x_TypS",-0.0127511884799374,-0.0651685697297375,0.0363149130553517,-0.0544224901025868,0.0270496416795569,-0.0656701534787728,0.0355213389670453,-0.0511728596965269,0.0295205886049838,-0.0123689565221402
"RegIn_incl","b_Gram_x_Gen_x_TypL",0.022662097947852,-0.0264954369197246,0.0741055758409295,-0.0164432891324623,0.063965482868737,-0.0274928785045903,0.0726877983320696,-0.0176039085791634,0.0624041522075528,0.0223322320724751
"RegIn_incl","b_Gram_x_Gen_x_TypS",-0.00127941625630423,-0.0515146374232492,0.048703012926229,-0.0411038865094933,0.0387308076727464,-0.051805209805067,0.0479914331079458,-0.0423141365793461,0.0371112082653896,-0.00152673950191232
